family,instance,ppd_orig,n_vars,n_clauses,full_sat,full_wall,full_decisions,full_props,full_conflicts,full_ppd,budget,pre_wall,pre_decisions,pre_props,pre_conflicts,pre_ppd,solved_within_prefix,log_n,rel_err
flat30-60,flat30-31.cnf,5.1538,90,300,True,4.541012458503246e-06,29,91,0,3.1379310344827585,300,4.125002305954695e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-31.cnf,5.1538,90,300,True,4.541012458503246e-06,29,91,0,3.1379310344827585,1000,3.875000402331352e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-32.cnf,8.6364,90,300,True,5.582987796515226e-06,25,91,0,3.64,10,4.3339969124644995e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-32.cnf,8.6364,90,300,True,5.582987796515226e-06,25,91,0,3.64,30,4.250003257766366e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-32.cnf,8.6364,90,300,True,5.582987796515226e-06,25,91,0,3.64,100,4.083005478605628e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-32.cnf,8.6364,90,300,True,5.582987796515226e-06,25,91,0,3.64,300,3.91600769944489e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-32.cnf,8.6364,90,300,True,5.582987796515226e-06,25,91,0,3.64,1000,3.8330035749822855e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-33.cnf,9.5,90,300,True,4.542001988738775e-06,28,91,0,3.25,10,4.208006430417299e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-33.cnf,9.5,90,300,True,4.542001988738775e-06,28,91,0,3.25,30,3.7910067476332188e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-33.cnf,9.5,90,300,True,4.542001988738775e-06,28,91,0,3.25,100,3.8330035749822855e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-33.cnf,9.5,90,300,True,4.542001988738775e-06,28,91,0,3.25,300,3.708992153406143e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-33.cnf,9.5,90,300,True,4.542001988738775e-06,28,91,0,3.25,1000,3.6249984987080097e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-34.cnf,7.4,90,300,True,4.62500611320138e-06,29,91,0,3.1379310344827585,10,4.0000013541430235e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-34.cnf,7.4,90,300,True,4.62500611320138e-06,29,91,0,3.1379310344827585,30,3.958004526793957e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-34.cnf,7.4,90,300,True,4.62500611320138e-06,29,91,0,3.1379310344827585,100,3.7080026231706142e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-34.cnf,7.4,90,300,True,4.62500611320138e-06,29,91,0,3.1379310344827585,300,3.749999450519681e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-34.cnf,7.4,90,300,True,4.62500611320138e-06,29,91,0,3.1379310344827585,1000,3.6249984987080097e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-35.cnf,5.2857,90,300,True,4.6670029405504465e-06,28,91,0,3.25,10,4.208995960652828e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-35.cnf,5.2857,90,300,True,4.6670029405504465e-06,28,91,0,3.25,30,4.0000013541430235e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-35.cnf,5.2857,90,300,True,4.6670029405504465e-06,28,91,0,3.25,100,3.875000402331352e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-35.cnf,5.2857,90,300,True,4.6670029405504465e-06,28,91,0,3.25,300,3.875000402331352e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-35.cnf,5.2857,90,300,True,4.6670029405504465e-06,28,91,0,3.25,1000,3.6669953260570765e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-36.cnf,6.0625,90,300,True,5.0000089686363935e-06,28,91,0,3.25,10,4.62500611320138e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-36.cnf,6.0625,90,300,True,5.0000089686363935e-06,28,91,0,3.25,30,4.3330073822289705e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-36.cnf,6.0625,90,300,True,5.0000089686363935e-06,28,91,0,3.25,100,4.208006430417299e-06,28,91,0,3.25,True,4.499809670330265,0.0
