family,instance,depth,trails_reached,trails_attempted,n_trials,mean,std,cv,rho_occ_l,rho_occ_neg_l,rho_near_unit,rho_two_hop
uf100-430,uf100-0101.cnf,20,5,5,590,14.63728813559322,10.422352534896264,0.7120412222775354,-0.047326884749789334,0.11263863240758296,0.40698353823868577,-0.0429469375170723
uf100-430,uf100-0102.cnf,5,5,5,938,0.7899786780383795,2.770793281793252,3.50742793295826,0.022122656957273275,0.20244980805618715,0.9879502611947063,0.015421074752478354
uf100-430,uf100-0102.cnf,10,5,5,822,7.600973236009732,11.610461871683905,1.5274967443220502,0.0842686331904876,0.28157008083088797,0.8709351520399076,0.09180096767875143
uf100-430,uf100-0102.cnf,20,5,5,576,13.109375,9.633466067738075,0.7348531922946804,-0.011110688247314818,0.2630789586342628,0.4452584574476646,-0.00245903250082397
uf100-430,uf100-0102.cnf,40,2,5,176,14.6875,6.523720454727393,0.4441682011729289,0.060913054899385755,-0.14394797512573146,-0.07455144538918147,0.05380414876441737
uf100-430,uf100-0103.cnf,5,5,5,938,0.7547974413646056,2.188941697263078,2.900038576317468,-0.07869152774173326,0.26016957879239655,0.9829223489972132,-0.07623383584437769
uf100-430,uf100-0103.cnf,10,5,5,844,6.078199052132701,11.597072833040711,1.9079784544027993,0.02684169974725809,0.27812940760671506,0.9148918923141531,0.02840047132325533
uf100-430,uf100-0103.cnf,20,5,5,628,14.235668789808917,11.304902961612054,0.7941251744846052,0.02543698861959123,0.23801374133430575,0.4604319253671569,0.024882657179200896
uf100-430,uf100-0103.cnf,40,1,5,78,10.743589743589743,6.61253413795405,0.6154864710744821,-0.15054929559412092,-0.14133499948582787,-0.2627417320302554,-0.15091642614833767
uf100-430,uf100-0104.cnf,5,5,5,948,0.6508438818565401,3.672068337645789,5.642010995280726,-0.061283333017118115,0.1827992525170901,0.9929882938611144,-0.054378088315285705
uf100-430,uf100-0104.cnf,10,5,5,842,6.235154394299287,14.077728822046263,2.257799555840563,0.023780039772585658,0.28460979704618916,0.9133931151457042,0.02745689872978326
uf100-430,uf100-0104.cnf,20,5,5,612,12.823529411764707,10.506092159579712,0.8192824161140142,0.018526917134219573,0.16647737868467102,0.48365764497962904,0.010318067172677433
uf100-430,uf100-0105.cnf,5,5,5,942,0.7760084925690022,2.3220373332886126,2.992283403499142,-0.053148590255756974,0.2724135078088514,0.9854568808662036,-0.050023375274273835
