family,instance,n_vars,ppd_orig,mode,rep,sat,decisions,propagations,conflicts,ppd
flat30-60,flat30-1.cnf,90,4.4444,all,5,True,13,136,2,10.461538461538462
flat30-60,flat30-1.cnf,90,4.4444,all,6,True,19,159,2,8.368421052631579
flat30-60,flat30-1.cnf,90,4.4444,all,7,True,21,162,3,7.714285714285714
flat30-60,flat30-1.cnf,90,4.4444,all,8,True,13,91,0,7.0
flat30-60,flat30-1.cnf,90,4.4444,all,9,True,17,193,5,11.352941176470589
flat30-60,flat30-1.cnf,90,4.4444,all,10,True,15,173,2,11.533333333333333
flat30-60,flat30-1.cnf,90,4.4444,all,11,True,15,91,0,6.066666666666666
flat30-60,flat30-10.cnf,90,2.6667,identical,0,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,1,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,2,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,3,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,4,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,5,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,6,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,7,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,8,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,9,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,10,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,identical,11,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,0,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,1,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,2,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,3,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,4,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,5,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,6,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,7,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,8,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,9,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,10,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,clause_shuffle,11,True,27,91,0,3.3703703703703702
flat30-60,flat30-10.cnf,90,2.6667,var_rename,0,True,21,257,6,12.238095238095237
flat30-60,flat30-10.cnf,90,2.6667,var_rename,1,True,20,91,0,4.55
flat30-60,flat30-10.cnf,90,2.6667,var_rename,2,True,22,109,1,4.954545454545454
flat30-60,flat30-10.cnf,90,2.6667,var_rename,3,True,20,91,0,4.55
flat30-60,flat30-10.cnf,90,2.6667,var_rename,4,True,21,188,3,8.952380952380953
flat30-60,flat30-10.cnf,90,2.6667,var_rename,5,True,21,98,1,4.666666666666667
flat30-60,flat30-10.cnf,90,2.6667,var_rename,6,True,26,291,6,11.192307692307692
flat30-60,flat30-10.cnf,90,2.6667,var_rename,7,True,22,197,3,8.954545454545455
flat30-60,flat30-10.cnf,90,2.6667,var_rename,8,True,29,326,11,11.241379310344827
flat30-60,flat30-10.cnf,90,2.6667,var_rename,9,True,35,319,8,9.114285714285714
flat30-60,flat30-10.cnf,90,2.6667,var_rename,10,True,16,140,2,8.75
flat30-60,flat30-10.cnf,90,2.6667,var_rename,11,True,19,139,2,7.315789473684211
flat30-60,flat30-10.cnf,90,2.6667,phases,0,True,26,434,12,16.692307692307693
flat30-60,flat30-10.cnf,90,2.6667,phases,1,True,26,205,5,7.884615384615385
flat30-60,flat30-10.cnf,90,2.6667,phases,2,True,28,373,10,13.321428571428571
