size,rtt_us
64,1005.4159793071449
64,988.2910235319287
64,995.2909895218909
64,998.7080120481551
64,1008.8749986607581
64,1021.8330135103315
64,1015.4999908991158
64,1038.6249923612922
64,1003.0830162577331
64,1024.1249983664602
64,1015.1669848710299
64,1018.8329906668514
64,1108.1660049967468
64,1006.5000096801668
64,1007.5829923152924
64,1017.6660143770278
64,995.7919828593731
64,1003.0420089606196
64,954.3750202283263
64,1000.4999930970371
64,1009.9170031026006
64,990.3749742079526
64,992.9170191753656
64,1013.5409829672426
64,1022.7500170003623
64,1002.7499811258167
64,1006.7910188809037
64,1037.291978718713
64,1023.0829939246178
64,1031.8339918740094
64,1007.3749872390181
128,1159.2499795369804
128,1153.541001258418
128,1158.291008323431
128,1149.624993558973
128,1148.790994193405
128,1163.8330179266632
128,1166.4159828796983
128,1159.667008323595
128,1142.1249946579337
128,1148.4169808682054
128,1156.5830209292471
128,1166.957983514294
128,1150.6250011734664
128,1167.7909933496267
128,1122.2920147702098
128,1084.5829965546727
128,1144.5829877629876
128,1147.2920014057308
128,1141.5000190027058
128,1153.0830233823508
128,1145.6250213086605
128,1152.3330176714808
128,1137.8340132068843
128,1115.4579988215119
128,1101.1250026058406
128,1149.167015682906
128,1098.2920066453516
128,1149.6669903863221
128,1150.958996731788
128,1136.2499790266156
128,1086.1660121008754
128,1148.499984992668
128,1206.125016324222
128,1143.0000013206154
128,1154.7910107765347
128,1141.8749927543104
128,1151.6669765114784
128,1150.4580033943057
128,1107.3749919887632
128,1148.3749840408564
128,1099.4160256814212
128,1105.5410141125321
128,1108.5419973824173
128,1119.0840159542859
128,1106.4999853260815
128,1118.7079944647849
128,1157.1249924600124
128,1145.5419880803674
128,1125.2500116825104
128,1170.8749807439744
128,1155.0000053830445
128,1156.3340085558593
128,1151.6250087879598
128,1162.3750033322722
128,1167.0419771689922
128,1279.7499948646873
128,1211.9169987272471
128,1317.8749941289425
128,1198.749989271164
128,1146.1249960120767
128,1152.208016719669
128,1158.3750019781291
128,1200.1659779343754
128,1228.9590085856616
128,1115.0829959660769
128,1153.6669917404652
128,1160.417014034465
128,1150.7079761940986
128,1096.8749993480742
128,1105.9580137953162
128,1162.208995083347
128,1145.1669852249324
128,1144.916983321309
128,1146.9580058474094
128,1161.3329988904297
128,1166.6250065900385
128,1172.9999969247729
128,1170.584000647068
128,1187.6669886987656
128,1174.6250092983246
128,1160.750020062551
128,1161.958003649488
128,1184.290973469615
128,1128.7500092294067
128,1155.5830133147538
128,1167.374983197078
128,1144.7919823694974
128,1155.334000941366
128,1152.3340072017163
128,1156.2500149011612
128,1160.7499909587204
128,1171.4579886756837
128,1164.9170191958547
128,1142.4580006860197
128,1166.5830097626895
128,1162.2500023804605
128,1154.5830057002604
128,1212.499977555126
128,1154.8330076038837
128,1208.3750043530017
128,1070.7089968491346
128,1133.5000162944198
128,1137.1250147931278
128,1140.0830117054284
128,1142.8750003688037
128,1158.9580099098384
128,1158.1250000745058
128,1140.7500132918358
128,1149.16599704884
128,1136.0410135239363
128,1145.291986176744
128,1095.292012905702
128,1164.4999904092401
128,1156.7499896045774
128,1144.6670105215162
128,1137.8340132068843
128,1151.8750106915832
128,1132.0000048726797
128,1106.3749843742698
128,1115.916995331645
128,1144.7500146459788
128,1152.9580224305391
128,1138.0840151105076
128,1142.66702439636
