solver,instance,family,result,propagations,decisions,props_per_decision,status
cadical,par32-2.cnf,parity,,,,,timeout
cadical,par8-3-c.cnf,parity,SAT,,,,parse_error
cadical,par32-4.cnf,parity,,,,,timeout
cadical,par16-3-c.cnf,parity,SAT,256975,6027,42.6373,ok
cadical,par8-2.cnf,parity,SAT,,,,parse_error
cadical,par16-2-c.cnf,parity,SAT,262108,6303,41.5846,ok
cadical,par32-3.cnf,parity,,,,,timeout
cadical,par16-5-c.cnf,parity,SAT,170728,4510,37.8554,ok
cadical,par8-1.cnf,parity,SAT,,,,parse_error
cadical,par32-5.cnf,parity,,,,,timeout
cadical,par16-1.cnf,parity,SAT,214069,4365,49.0422,ok
cadical,par8-5-c.cnf,parity,SAT,,,,parse_error
cadical,par8-4-c.cnf,parity,SAT,,,,parse_error
cadical,par16-4-c.cnf,parity,SAT,132778,3197,41.5321,ok
cadical,par16-3.cnf,parity,SAT,187001,4065,46.0027,ok
cadical,par16-5.cnf,parity,SAT,212209,4543,46.7112,ok
cadical,ssa7552-038.cnf,ssa,SAT,,,,parse_error
cadical,ssa7552-159.cnf,ssa,SAT,,,,parse_error
cadical,ssa2670-130.cnf,ssa,UNSAT,1445,1029,1.4043,ok
cadical,ssa0432-003.cnf,ssa,UNSAT,,,,parse_error
cadical,ssa2670-141.cnf,ssa,UNSAT,1525,1027,1.4849,ok
cadical,ssa7552-158.cnf,ssa,SAT,,,,parse_error
cadical,ssa6288-047.cnf,ssa,UNSAT,,,,parse_error
cadical,ssa7552-160.cnf,ssa,SAT,,,,parse_error
kissat,e0ddr2-10-by-5-1.cnf,Bejing,SAT,356622,9320,38.2642,ok
kissat,ewddr2-10-by-5-1.cnf,Bejing,SAT,38587,0,,zero_decisions
kissat,3bitadd_31.cnf,Bejing,SAT,2673240,32641,81.8982,ok
kissat,2bitadd_11.cnf,Bejing,SAT,46084,1425,32.3396,ok
kissat,4blocksb.cnf,Bejing,SAT,52418,1181,44.3844,ok
kissat,2bitadd_12.cnf,Bejing,SAT,40695,1630,24.9663,ok
kissat,2bitcomp_5.cnf,Bejing,SAT,384,0,,zero_decisions
kissat,e0ddr2-10-by-5-4.cnf,Bejing,SAT,40699,0,,zero_decisions
kissat,enddr2-10-by-5-8.cnf,Bejing,SAT,38345,0,,zero_decisions
kissat,3blocks.cnf,Bejing,SAT,13200,348,37.9310,ok
kissat,4blocks.cnf,Bejing,SAT,338308,12256,27.6035,ok
kissat,2bitmax_6.cnf,Bejing,SAT,635,0,,zero_decisions
kissat,2bitadd_10.cnf,Bejing,UNSAT,13606600,295406,46.0607,ok
kissat,3bitadd_32.cnf,Bejing,SAT,2334095,20057,116.3731,ok
kissat,ewddr2-10-by-5-8.cnf,Bejing,SAT,203537,5565,36.5745,ok
kissat,enddr2-10-by-5-1.cnf,Bejing,SAT,37558,0,,zero_decisions
kissat,bf1355-075.cnf,bf,UNSAT,7888,0,,zero_decisions
kissat,bf2670-001.cnf,bf,UNSAT,5959,0,,zero_decisions
kissat,bf0432-007.cnf,bf,UNSAT,5935,0,,zero_decisions
kissat,bf1355-638.cnf,bf,UNSAT,7349,0,,zero_decisions
kissat,huge.cnf,blocksworld,SAT,14870,18,826.1111,ok
kissat,anomaly.cnf,blocksworld,SAT,83,0,,zero_decisions
kissat,bw_large.c.cnf,blocksworld,SAT,541459,2759,196.2519,ok
kissat,bw_large.a.cnf,blocksworld,SAT,13808,0,,zero_decisions
kissat,medium.cnf,blocksworld,SAT,446,0,,zero_decisions
kissat,bw_large.b.cnf,blocksworld,SAT,39447,52,758.5962,ok
kissat,bw_large.d.cnf,blocksworld,SAT,2452575,9830,249.4990,ok
kissat,bmc-galileo-8.cnf,bmc,SAT,1092613,10125,107.9124,ok
kissat,bmc-ibm-4.cnf,bmc,SAT,759731,6896,110.1698,ok
kissat,bmc-ibm-11.cnf,bmc,SAT,1247695,11195,111.4511,ok
kissat,bmc-ibm-3.cnf,bmc,SAT,477842,3461,138.0647,ok
kissat,bmc-ibm-13.cnf,bmc,SAT,2370246,13459,176.1086,ok
kissat,bmc-ibm-10.cnf,bmc,SAT,1101876,7067,155.9185,ok
kissat,bmc-ibm-1.cnf,bmc,SAT,1151609,23284,49.4592,ok
kissat,bmc-ibm-7.cnf,bmc,SAT,9797,0,,zero_decisions
kissat,bmc-ibm-2.cnf,bmc,SAT,9551,0,,zero_decisions
kissat,bmc-ibm-12.cnf,bmc,SAT,13577780,42048,322.9114,ok
kissat,bmc-ibm-5.cnf,bmc,SAT,70028,3937,17.7871,ok
kissat,bmc-galileo-9.cnf,bmc,SAT,1396738,11235,124.3202,ok
kissat,bmc-ibm-6.cnf,bmc,SAT,886153,12197,72.6534,ok
kissat,hanoi4.cnf,hanoi,SAT,116823,4260,27.4232,ok
kissat,hanoi5.cnf,hanoi,SAT,2799050,91591,30.5603,ok
kissat,ii8a1.cnf,inductive-inference,SAT,164,0,,zero_decisions
kissat,ii8e2.cnf,inductive-inference,SAT,3111,0,,zero_decisions
kissat,ii8e1.cnf,inductive-inference,SAT,1887,0,,zero_decisions
kissat,ii32d2.cnf,inductive-inference,SAT,50778,2470,20.5579,ok
kissat,ii16e2.cnf,inductive-inference,SAT,25354,633,40.0537,ok
kissat,ii32b1.cnf,inductive-inference,SAT,257,0,,zero_decisions
kissat,ii8b4.cnf,inductive-inference,SAT,4709,0,,zero_decisions
kissat,ii8d2.cnf,inductive-inference,SAT,2897,0,,zero_decisions
kissat,ii8d1.cnf,inductive-inference,SAT,2048,0,,zero_decisions
kissat,ii32b2.cnf,inductive-inference,SAT,10398,0,,zero_decisions
kissat,ii32d1.cnf,inductive-inference,SAT,11848,91,130.1978,ok
kissat,ii32b3.cnf,inductive-inference,SAT,40630,1262,32.1949,ok
kissat,ii16e1.cnf,inductive-inference,SAT,3967,0,,zero_decisions
kissat,ii8b2.cnf,inductive-inference,SAT,2551,0,,zero_decisions
kissat,ii16a2.cnf,inductive-inference,SAT,10195,0,,zero_decisions
kissat,ii32c1.cnf,inductive-inference,SAT,225,0,,zero_decisions
kissat,ii8a2.cnf,inductive-inference,SAT,561,0,,zero_decisions
kissat,ii32e3.cnf,inductive-inference,SAT,3768,0,,zero_decisions
kissat,ii32e5.cnf,inductive-inference,SAT,81791,2238,36.5465,ok
kissat,ii32b4.cnf,inductive-inference,SAT,96102,4354,22.0721,ok
kissat,ii32c3.cnf,inductive-inference,SAT,15702,215,73.0326,ok
kissat,ii16c1.cnf,inductive-inference,SAT,4512,0,,zero_decisions
kissat,ii8a3.cnf,inductive-inference,SAT,988,0,,zero_decisions
kissat,ii8a4.cnf,inductive-inference,SAT,1500,0,,zero_decisions
kissat,ii32c4.cnf,inductive-inference,SAT,110446,2403,45.9617,ok
kissat,ii16d1.cnf,inductive-inference,SAT,34438,1128,30.5301,ok
kissat,ii16b1.cnf,inductive-inference,SAT,47513,902,52.6752,ok
kissat,ii32e1.cnf,inductive-inference,SAT,222,0,,zero_decisions
kissat,ii32a1.cnf,inductive-inference,SAT,168816,7852,21.4997,ok
kissat,ii32e2.cnf,inductive-inference,SAT,322,0,,zero_decisions
kissat,ii16d2.cnf,inductive-inference,SAT,6549,0,,zero_decisions
kissat,ii32d3.cnf,inductive-inference,SAT,189966,6485,29.2931,ok
kissat,ii8b1.cnf,inductive-inference,SAT,421,0,,zero_decisions
kissat,ii8c2.cnf,inductive-inference,SAT,3366,0,,zero_decisions
kissat,ii32e4.cnf,inductive-inference,SAT,28160,323,87.1827,ok
kissat,ii16c2.cnf,inductive-inference,SAT,7588,0,,zero_decisions
kissat,ii16a1.cnf,inductive-inference,SAT,5870,0,,zero_decisions
kissat,ii8c1.cnf,inductive-inference,SAT,810,0,,zero_decisions
kissat,ii16b2.cnf,inductive-inference,SAT,8635,0,,zero_decisions
kissat,ii32c2.cnf,inductive-inference,SAT,682,0,,zero_decisions
kissat,ii8b3.cnf,inductive-inference,SAT,3590,0,,zero_decisions
kissat,logistics.c.cnf,logistics,SAT,40856,2044,19.9883,ok
kissat,logistics.a.cnf,logistics,SAT,17615,532,33.1109,ok
kissat,logistics.b.cnf,logistics,SAT,23034,826,27.8862,ok
kissat,logistics.d.cnf,logistics,SAT,185134,498,371.7550,ok
kissat,par16-1-c.cnf,parity,SAT,113725,1754,64.8375,ok
kissat,par8-5.cnf,parity,SAT,1435,0,,zero_decisions
kissat,par32-5-c.cnf,parity,,,,,timeout
kissat,par16-2.cnf,parity,SAT,570413,7190,79.3342,ok
kissat,par8-3.cnf,parity,SAT,2184,22,99.2727,ok
kissat,par32-3-c.cnf,parity,,,,,timeout
kissat,par16-4.cnf,parity,SAT,232430,4501,51.6396,ok
kissat,par32-4-c.cnf,parity,,,,,timeout
kissat,par32-2-c.cnf,parity,,,,,timeout
kissat,par8-4.cnf,parity,SAT,2059,0,,zero_decisions
kissat,par32-1-c.cnf,parity,,,,,timeout
kissat,par8-2-c.cnf,parity,SAT,967,0,,zero_decisions
kissat,par32-1.cnf,parity,,,,,timeout
kissat,par8-1-c.cnf,parity,SAT,935,0,,zero_decisions
kissat,par32-2.cnf,parity,,,,,timeout
kissat,par8-3-c.cnf,parity,SAT,1590,13,122.3077,ok
kissat,par32-4.cnf,parity,,,,,timeout
kissat,par16-3-c.cnf,parity,SAT,90294,1259,71.7188,ok
kissat,par8-2.cnf,parity,SAT,1717,0,,zero_decisions
kissat,par16-2-c.cnf,parity,SAT,354011,4394,80.5669,ok
kissat,par32-3.cnf,parity,,,,,timeout
kissat,par16-5-c.cnf,parity,SAT,453042,5294,85.5765,ok
kissat,par8-1.cnf,parity,SAT,967,0,,zero_decisions
kissat,par32-5.cnf,parity,,,,,timeout
kissat,par16-1.cnf,parity,SAT,311333,3875,80.3440,ok
kissat,par8-5-c.cnf,parity,SAT,1022,0,,zero_decisions
kissat,par8-4-c.cnf,parity,SAT,1193,0,,zero_decisions
kissat,par16-4-c.cnf,parity,SAT,10847,213,50.9249,ok
kissat,par16-3.cnf,parity,SAT,123614,2528,48.8979,ok
kissat,par16-5.cnf,parity,SAT,34620,1037,33.3848,ok
kissat,ssa7552-038.cnf,ssa,SAT,6419,0,,zero_decisions
kissat,ssa7552-159.cnf,ssa,SAT,3528,0,,zero_decisions
kissat,ssa2670-130.cnf,ssa,UNSAT,7360,0,,zero_decisions
kissat,ssa0432-003.cnf,ssa,UNSAT,2872,79,36.3544,ok
kissat,ssa2670-141.cnf,ssa,UNSAT,6803,83,81.9639,ok
kissat,ssa7552-158.cnf,ssa,SAT,1363,0,,zero_decisions
kissat,ssa6288-047.cnf,ssa,UNSAT,141,0,,zero_decisions
kissat,ssa7552-160.cnf,ssa,SAT,6954,0,,zero_decisions
