instance,family,status,result,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time
flat30-37.cnf,flat30-60,ok,SAT,90,300,11,42,0,1,3.8182,0.001327
flat30-38.cnf,flat30-60,ok,SAT,90,300,14,63,1,1,4.5000,0.001234
flat30-39.cnf,flat30-60,ok,SAT,90,300,12,46,0,1,3.8333,0.001189
flat30-4.cnf,flat30-60,ok,SAT,90,300,12,62,3,1,5.1667,0.001364
flat30-40.cnf,flat30-60,ok,SAT,90,300,10,46,0,1,4.6000,0.00131
flat30-41.cnf,flat30-60,ok,SAT,90,300,14,76,3,1,5.4286,0.00121
flat30-42.cnf,flat30-60,ok,SAT,90,300,10,37,0,1,3.7000,0.001196
flat30-43.cnf,flat30-60,ok,SAT,90,300,9,107,3,1,11.8889,0.001174
flat30-44.cnf,flat30-60,ok,SAT,90,300,6,43,0,1,7.1667,0.001189
flat30-45.cnf,flat30-60,ok,SAT,90,300,12,63,2,1,5.2500,0.001201
flat30-46.cnf,flat30-60,ok,SAT,90,300,9,35,0,1,3.8889,0.00116
flat30-47.cnf,flat30-60,ok,SAT,90,300,16,78,3,1,4.8750,0.001148
flat30-48.cnf,flat30-60,ok,SAT,90,300,9,46,0,1,5.1111,0.001168
flat30-49.cnf,flat30-60,ok,SAT,90,300,8,39,0,1,4.8750,0.001232
flat30-5.cnf,flat30-60,ok,SAT,90,300,19,41,1,1,2.1579,0.001112
flat30-50.cnf,flat30-60,ok,SAT,90,300,18,66,5,1,3.6667,0.001163
flat30-51.cnf,flat30-60,ok,SAT,90,300,10,42,0,1,4.2000,0.001077
flat30-52.cnf,flat30-60,ok,SAT,90,300,10,37,0,1,3.7000,0.001231
flat30-53.cnf,flat30-60,ok,SAT,90,300,12,39,1,1,3.2500,0.001213
flat30-54.cnf,flat30-60,ok,SAT,90,300,11,40,0,1,3.6364,0.001129
flat30-55.cnf,flat30-60,ok,SAT,90,300,14,70,2,1,5.0000,0.001149
flat30-56.cnf,flat30-60,ok,SAT,90,300,7,42,0,1,6.0000,0.001113
flat30-57.cnf,flat30-60,ok,SAT,90,300,14,39,0,1,2.7857,0.001203
flat30-58.cnf,flat30-60,ok,SAT,90,300,14,43,0,1,3.0714,0.001117
flat30-59.cnf,flat30-60,ok,SAT,90,300,13,80,4,1,6.1538,0.001102
flat30-6.cnf,flat30-60,ok,SAT,90,300,16,44,0,1,2.7500,0.0012
flat30-60.cnf,flat30-60,ok,SAT,90,300,9,46,1,1,5.1111,0.001111
flat30-61.cnf,flat30-60,ok,SAT,90,300,17,50,1,1,2.9412,0.001212
flat30-62.cnf,flat30-60,ok,SAT,90,300,14,64,1,1,4.5714,0.001133
flat30-63.cnf,flat30-60,ok,SAT,90,300,10,34,1,1,3.4000,0.001144
flat30-64.cnf,flat30-60,ok,SAT,90,300,13,39,0,1,3.0000,0.001125
flat30-65.cnf,flat30-60,ok,SAT,90,300,12,60,2,1,5.0000,0.001087
flat30-66.cnf,flat30-60,ok,SAT,90,300,11,42,0,1,3.8182,0.001158
flat30-67.cnf,flat30-60,ok,SAT,90,300,10,46,0,1,4.6000,0.001132
flat30-68.cnf,flat30-60,ok,SAT,90,300,14,63,1,1,4.5000,0.001057
flat30-69.cnf,flat30-60,ok,SAT,90,300,19,132,8,1,6.9474,0.001084
flat30-7.cnf,flat30-60,ok,SAT,90,300,10,32,0,1,3.2000,0.001134
flat30-70.cnf,flat30-60,ok,SAT,90,300,17,69,2,1,4.0588,0.001193
flat30-71.cnf,flat30-60,ok,SAT,90,300,14,56,1,1,4.0000,0.001201
flat30-72.cnf,flat30-60,ok,SAT,90,300,10,26,0,1,2.6000,0.001304
flat30-73.cnf,flat30-60,ok,SAT,90,300,10,53,1,1,5.3000,0.001181
flat30-74.cnf,flat30-60,ok,SAT,90,300,13,89,7,1,6.8462,0.001157
flat30-75.cnf,flat30-60,ok,SAT,90,300,12,66,2,1,5.5000,0.001128
flat30-76.cnf,flat30-60,ok,SAT,90,300,13,60,1,1,4.6154,0.001141
flat30-77.cnf,flat30-60,ok,SAT,90,300,8,33,1,1,4.1250,0.001191
flat30-78.cnf,flat30-60,ok,SAT,90,300,11,54,1,1,4.9091,0.001082
flat30-79.cnf,flat30-60,ok,SAT,90,300,8,43,0,1,5.3750,0.001099
flat30-8.cnf,flat30-60,ok,SAT,90,300,17,43,0,1,2.5294,0.001168
flat30-80.cnf,flat30-60,ok,SAT,90,300,13,46,0,1,3.5385,0.001091
flat30-81.cnf,flat30-60,ok,SAT,90,300,13,44,0,1,3.3846,0.001095
flat30-82.cnf,flat30-60,ok,SAT,90,300,8,38,0,1,4.7500,0.001063
flat30-83.cnf,flat30-60,ok,SAT,90,300,15,137,8,1,9.1333,0.001145
flat30-84.cnf,flat30-60,ok,SAT,90,300,10,47,1,1,4.7000,0.001173
flat30-85.cnf,flat30-60,ok,SAT,90,300,9,42,0,1,4.6667,0.001123
flat30-86.cnf,flat30-60,ok,SAT,90,300,13,51,1,1,3.9231,0.001139
flat30-87.cnf,flat30-60,ok,SAT,90,300,14,49,2,1,3.5000,0.001102
flat30-88.cnf,flat30-60,ok,SAT,90,300,12,47,0,1,3.9167,0.001068
flat30-89.cnf,flat30-60,ok,SAT,90,300,16,56,1,1,3.5000,0.00115
flat30-9.cnf,flat30-60,ok,SAT,90,300,15,85,3,1,5.6667,0.001094
flat30-90.cnf,flat30-60,ok,SAT,90,300,18,121,7,1,6.7222,0.001069
flat30-91.cnf,flat30-60,ok,SAT,90,300,10,68,2,1,6.8000,0.001116
flat30-92.cnf,flat30-60,ok,SAT,90,300,13,42,0,1,3.2308,0.001063
flat30-93.cnf,flat30-60,ok,SAT,90,300,9,36,0,1,4.0000,0.001157
flat30-94.cnf,flat30-60,ok,SAT,90,300,12,68,1,1,5.6667,0.001087
flat30-95.cnf,flat30-60,ok,SAT,90,300,18,68,3,1,3.7778,0.001046
flat30-96.cnf,flat30-60,ok,SAT,90,300,11,56,2,1,5.0909,0.001114
flat30-97.cnf,flat30-60,ok,SAT,90,300,10,58,1,1,5.8000,0.001035
flat30-98.cnf,flat30-60,ok,SAT,90,300,13,42,0,1,3.2308,0.001056
flat30-99.cnf,flat30-60,ok,SAT,90,300,10,39,0,1,3.9000,0.001115
flat50-1.cnf,flat50-115,ok,SAT,150,545,21,275,9,1,13.0952,0.001246
flat50-10.cnf,flat50-115,ok,SAT,150,545,13,157,3,1,12.0769,0.001216
flat50-100.cnf,flat50-115,ok,SAT,150,545,12,140,2,1,11.6667,0.00124
flat50-1000.cnf,flat50-115,ok,SAT,150,545,15,120,1,1,8.0000,0.00118
flat50-101.cnf,flat50-115,ok,SAT,150,545,17,108,2,1,6.3529,0.001297
flat50-102.cnf,flat50-115,ok,SAT,150,545,19,283,7,1,14.8947,0.001271
flat50-103.cnf,flat50-115,ok,SAT,150,545,10,83,0,1,8.3000,0.001358
flat50-104.cnf,flat50-115,ok,SAT,150,545,14,218,5,1,15.5714,0.001367
flat50-105.cnf,flat50-115,ok,SAT,150,545,17,269,8,1,15.8235,0.001372
flat50-106.cnf,flat50-115,ok,SAT,150,545,16,105,1,1,6.5625,0.001265
flat50-107.cnf,flat50-115,ok,SAT,150,545,18,221,5,1,12.2778,0.001252
flat50-108.cnf,flat50-115,ok,SAT,150,545,16,126,3,1,7.8750,0.001222
flat50-109.cnf,flat50-115,ok,SAT,150,545,24,372,14,1,15.5000,0.001237
flat50-11.cnf,flat50-115,ok,SAT,150,545,18,159,4,1,8.8333,0.001307
flat50-110.cnf,flat50-115,ok,SAT,150,545,10,91,1,1,9.1000,0.00126
flat50-111.cnf,flat50-115,ok,SAT,150,545,32,430,17,1,13.4375,0.001267
flat50-112.cnf,flat50-115,ok,SAT,150,545,15,136,3,1,9.0667,0.001242
flat50-113.cnf,flat50-115,ok,SAT,150,545,11,128,2,1,11.6364,0.001246
flat50-114.cnf,flat50-115,ok,SAT,150,545,15,185,6,1,12.3333,0.001305
flat50-115.cnf,flat50-115,ok,SAT,150,545,13,102,1,1,7.8462,0.001211
flat50-116.cnf,flat50-115,ok,SAT,150,545,14,87,1,1,6.2143,0.001213
flat50-117.cnf,flat50-115,ok,SAT,150,545,22,218,7,1,9.9091,0.001257
flat50-118.cnf,flat50-115,ok,SAT,150,545,19,317,8,1,16.6842,0.001245
flat50-119.cnf,flat50-115,ok,SAT,150,545,16,121,4,1,7.5625,0.001356
flat50-12.cnf,flat50-115,ok,SAT,150,545,17,130,2,1,7.6471,0.001293
flat50-120.cnf,flat50-115,ok,SAT,150,545,14,243,6,1,17.3571,0.001308
flat50-121.cnf,flat50-115,ok,SAT,150,545,11,76,0,1,6.9091,0.001405
flat50-122.cnf,flat50-115,ok,SAT,150,545,24,335,12,1,13.9583,0.001268
flat50-123.cnf,flat50-115,ok,SAT,150,545,17,121,3,1,7.1176,0.001287
flat50-124.cnf,flat50-115,ok,SAT,150,545,19,248,5,1,13.0526,0.001294
