solver,instance,family,result,propagations,decisions,props_per_decision,status
cadical,uf20-0182.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0797.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0547.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0715.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0132.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0698.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0562.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0862.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0641.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0296.cnf,uf20-91,SAT,,,,parse_error
cadical,uf50-0131.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0824.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0847.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0844.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0546.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0158.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0534.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0529.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-052.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0193.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0290.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0767.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0123.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0219.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-08.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0621.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0518.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0331.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0309.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0360.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0171.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0379.cnf,uf50-218,SAT,,,,parse_error
