hash,family,instance,solver,result,completed,variables,clauses,decisions,propagations,props_per_decision,cpu_time,status
4bc4e48017602be956d46b317739149b,cryptography,4bc4e48017602be956d46b317739149b-md5__zeroOut_09__freeIn_13__seed_0.cnf,minisat,SAT,True,15233,138643,884563,49476403,55.9332,7.12807,ok
4bc4e48017602be956d46b317739149b,cryptography,4bc4e48017602be956d46b317739149b-md5__zeroOut_09__freeIn_13__seed_0.cnf,cadical,SAT,True,,,3930068,161030786,40.9740,29.71,ok
4bc4e48017602be956d46b317739149b,cryptography,4bc4e48017602be956d46b317739149b-md5__zeroOut_09__freeIn_13__seed_0.cnf,kissat,SAT,True,,,5679188,120255669,21.1748,16.26,ok
f9246fd6fd1e617b3e71798543df32f7,cryptography,f9246fd6fd1e617b3e71798543df32f7-vmpc_24.shuffled-as.sat05-1944.cnf,minisat,SAT,True,576,67872,109688,6144511,56.0181,1.1467,ok
f9246fd6fd1e617b3e71798543df32f7,cryptography,f9246fd6fd1e617b3e71798543df32f7-vmpc_24.shuffled-as.sat05-1944.cnf,cadical,SAT,True,,,321322,25318064,78.7934,5.09,ok
f9246fd6fd1e617b3e71798543df32f7,cryptography,f9246fd6fd1e617b3e71798543df32f7-vmpc_24.shuffled-as.sat05-1944.cnf,kissat,SAT,True,,,727595,49319906,67.7848,7.93,ok
eeac24c170880dd8465008f89816341d,cryptography,eeac24c170880dd8465008f89816341d-mizh-sha0-36-2.cnf,minisat,SAT,True,50073,179931,1102951,59950302,54.3545,6.12714,ok
eeac24c170880dd8465008f89816341d,cryptography,eeac24c170880dd8465008f89816341d-mizh-sha0-36-2.cnf,cadical,SAT,True,,,2545417,44108505,17.3286,7.53,ok
eeac24c170880dd8465008f89816341d,cryptography,eeac24c170880dd8465008f89816341d-mizh-sha0-36-2.cnf,kissat,SAT,True,,,2550026,41107296,16.1203,4.59,ok
5bdadbd296bfcd8254fda1e650fe56f0,cryptography,5bdadbd296bfcd8254fda1e650fe56f0-md5__zeroOut_02__freeIn_06__seed_2.cnf,minisat,SAT,True,15233,138643,568288,6236335,10.9739,0.654813,ok
5bdadbd296bfcd8254fda1e650fe56f0,cryptography,5bdadbd296bfcd8254fda1e650fe56f0-md5__zeroOut_02__freeIn_06__seed_2.cnf,cadical,SAT,True,,,462647,5202759,11.2456,1.84,ok
5bdadbd296bfcd8254fda1e650fe56f0,cryptography,5bdadbd296bfcd8254fda1e650fe56f0-md5__zeroOut_02__freeIn_06__seed_2.cnf,kissat,SAT,True,,,438154,4892199,11.1655,0.90,ok
a723d60f96607c2e54bcdbaf8a6b943c,cryptography,a723d60f96607c2e54bcdbaf8a6b943c-md4__zeroOut_05__freeIn_09__seed_1.cnf,minisat,SAT,True,7089,84110,291006,6802670,23.3764,0.890722,ok
a723d60f96607c2e54bcdbaf8a6b943c,cryptography,a723d60f96607c2e54bcdbaf8a6b943c-md4__zeroOut_05__freeIn_09__seed_1.cnf,cadical,SAT,True,,,260093,2178690,8.3766,0.73,ok
a723d60f96607c2e54bcdbaf8a6b943c,cryptography,a723d60f96607c2e54bcdbaf8a6b943c-md4__zeroOut_05__freeIn_09__seed_1.cnf,kissat,SAT,True,,,744670,14801905,19.8771,2.03,ok
32c362d1c770a4eb66a5c78346c5e917,quasigroup-completion,32c362d1c770a4eb66a5c78346c5e917-gensys-brn100.shuffled-as.sat05-2844.cnf,minisat,SAT,True,642,15161,6777,134508,19.8477,0.04175,ok
