instance,family,status,result,completed,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time,download_bytes,wall_total,error
caead0e04b6de4365822b25dfd55967f-preimage_80r_490m_160h_seed_150.cnf,sc2023-main,ok,INDET,False,56108,207941,91409,140318424,32663,123,1535.0614,9.98873,385240,11.71,
cbd0933002d6c4ea99ceb47bb0c3f4c9-em_11_3_4_cmp.cnf,sc2023-main,ok,INDET,False,8713,99699,10865521,85251842,105503,270,7.8461,9.98414,181564,11.48,
cd118ff851f95661b2a3adfc3e393c74-Schur_160_5_d34.cnf,sc2023-main,ok,INDET,False,756,27689,424221,16502375,292712,701,38.9004,9.97485,27308,11.13,
cd58fa8eba4046fd0a86642e1fe26cb9-intervals803.cnf,sc2023-main,ok,INDET,False,2501,58453,1722358,23383483,314749,765,13.5764,9.94867,102252,11.48,
cd86fbfd8b7e0d66ec5fe8fe85c014d3-mchess22-mixed-35percent-blocked.cnf,sc2023-main,ok,INDET,False,58317,1883,4757258,61007212,2486230,4188,12.8240,9.98588,5892,10.94,
cdd131110acc861a5a01fae6c4936c91-6g_6color_366_050_04.cnf,sc2023-main,ok,INDET,False,77328,8485566,31556,21281362,13733,61,674.3999,9.96018,6451804,13.16,
ce49f590c98885f7ac95567f2b1e7dd5-CNP-5-1100.cnf,sc2023-main,ok,INDET,False,22585,163824,353229,97913687,214123,511,277.1961,9.97565,201476,11.51,
cea96962ebd736646af54d950943d909-SCPC-800-41.cnf,sc2023-main,ok,INDET,False,800,33540,252648,5689421,97368,255,22.5192,9.97688,151444,11.47,
cfc53adcc8ed18ca161bb6f8bc02b237-asconhashv12_opt64_H7_M2-gHvzZOd_m3_4_U11.c.cnf,sc2023-main,ok,INDET,False,127091,296682,847570,66506061,174312,476,78.4667,9.98123,491680,11.86,
d0364ea3e1680c6da7e982e6b0264af6-new-difficult-26-243-24-70.cnf,sc2023-main,ok,INDET,False,624,38944,235905,9018900,135594,378,38.2311,9.98118,33732,11.12,
d0fe6bf914469ca51675bac9078a2c0b-asconhashv12_opt64_H10_M2-pH7B6T6Vub_m6_7.c.cnf,sc2023-main,ok,INDET,False,158850,373087,777855,73961979,145653,382,95.0845,9.98034,629744,11.88,
d17aa530bbd09452b0f32daf4ab9c8f0-tph8.cnf,sc2023-main,ok,INDET,False,136,5457,2393629,40929742,1917632,3716,17.0995,9.98235,2820,10.96,
d1a62a8688c6c4fabd0dec3770ce40dd-qwh.40.560.shuffled-as.sat03-1654.cnf,sc2023-main,ok,INDET,False,3100,26345,692163,75844866,213077,511,109.5766,9.96892,122268,11.50,
d1f4348ad66cae01386777daae51c024-eqspctbk14spwtcl14.cnf,sc2023-main,ok,INDET,False,4699,14013,411200,100508525,281692,668,244.4273,9.98516,55744,11.31,
d3529338d35aa27e8024932d3b5f64b5-PRP_20_50.cnf,sc2023-main,ok,INDET,False,155138,926202,7252584,142300337,402397,983,19.6206,9.98489,2692964,12.35,
d3daba681653ea969bedf0c4a2fdb947-ER_400_20_7.apx_1_DC-ST.cnf,sc2023-main,ok,INDET,False,802,48438,226309,9120987,134783,375,40.3032,9.98482,96208,11.32,
d46c3fc9e953d4f84e8a18e52e29e7b7-PRP_100_350.cnf,sc2023-main,no_decisions,INDET,False,5508073,33063318,0,123630,0,1,,10.8093,97023524,24.43,
d5efaaee0197822c2676e45bac5068b2-SC23_Timetable_C_484_E_50_Cl_33_D_6_T_50.cnf,sc2023-main,ok,INDET,False,249943,804114,11625746,97419250,172809,475,8.3796,9.97041,1336516,12.14,
d60f56735dc8e89d7d91a01f4340df0c-baseballcover13with25_and3positions.cnf,sc2023-main,ok,INDET,False,3572612,7111986,104130,159007317,69952,220,1527.0077,9.92549,6042308,13.12,
d6402b482a5dc102a5b09360689e2be8-jkkk-one-one-11-32-unsat.cnf,sc2023-main,ok,INDET,False,6401,45326,401154,36801681,145033,382,91.7395,9.97711,73696,11.32,
d66ab8bce1b8979dbd26b3c220e817be-PRP_200_100.cnf,sc2023-main,no_decisions,INDET,False,3143157,18802856,0,69598,0,1,,10.4897,55528532,18.74,
d7f381cd99ca40ba3324c8cc03a54269-mchess16-mixed-25percent-blocked.cnf,sc2023-main,ok,INDET,False,16278,965,5534984,69717777,3221366,5692,12.5958,9.98888,3304,10.95,
d84a89fb1bc1ff37dc4737867257b290-SCPC-800-49.cnf,sc2023-main,ok,INDET,False,800,33881,250511,5385822,93078,255,21.4993,9.97449,178840,11.49,
d89718e39ff99638c2882b47988120cd-brent_63_0.1.cnf,sc2023-main,ok,INDET,False,75159,256064,1695140,108510801,369778,892,64.0129,9.95326,809864,12.09,
d89f0a7a08f9b60579b26b01e2196394-intervals467.cnf,sc2023-main,ok,INDET,False,2348,51401,2259013,32866625,403842,986,14.5491,9.94152,72232,11.37,
d8f131a86243ef138af39abf52a479e5-SC23_Timetable_C_481_E_51_Cl_32_D_6_T_50.cnf,sc2023-main,ok,INDET,False,249051,802440,11715970,96821716,179211,499,8.2641,9.97193,1320564,12.08,
d8fa4265b93d0931ba6484e3cc0d7ab1-brent_13_0.1.cnf,sc2023-main,ok,INDET,False,15224,56739,1100880,115111113,625415,1323,104.5628,9.97996,149848,11.48,
da43a3ef0ef5d34143e765d480dedc7a-DivU_624_11.cnf.sanitized.cnf,sc2023-main,no_decisions,INDET,False,624,612150,0,0,0,1,,10.0252,8796780,12.86,
db4a0d4ba26c46d66ad6cdcb0645a4d9-WS_500_16_70_10.apx_2_DC-ST.cnf,sc2023-main,ok,INDET,False,1000,13500,407426,47277329,292989,701,116.0391,9.98612,30184,11.23,
dbe18c99e95ac42816b99b96d36a8732-grs-32-256.cnf,sc2023-main,ok,INDET,False,839258,2381322,335417,114936650,30660,112,342.6679,9.95116,4110076,12.66,
dd169198070f9aa35015de65e8209a05-LZMAFile_write_12.cnf,sc2023-main,ok,INDET,False,192,1252,2162725,33348838,1664669,3157,15.4198,9.99443,2496,10.94,
